Date,Currency,Mean,Buy,Sell
12/29/2023,USD,156.4618,156.0118,156.9118
12/28/2023,USD,156.0941,155.6588,156.5294
12/27/2023,USD,155.4706,155.1029,155.8382
12/22/2023,USD,155.0853,154.7294,155.4412
12/21/2023,USD,154.6853,154.3529,155.0176
12/20/2023,USD,154.3868,154.0441,154.7294
12/19/2023,USD,154.1647,153.7676,154.5618
12/18/2023,USD,153.7794,153.5059,154.0529
12/15/2023,USD,153.7382,153.4824,153.9941
12/14/2023,USD,153.3735,153.2735,153.4735
12/13/2023,USD,153.3471,153.2471,153.4471
11/12/2023,USD,153.3412,153.2412,153.4412
8/12/2023,USD,153.3382,153.2382,153.4382
7/12/2023,USD,153.3235,153.2235,153.4235
6/12/2023,USD,153.2882,153.1882,153.3882
5/12/2023,USD,153.2765,153.1765,153.3765
4/12/2023,USD,153.2412,153.1412,153.3412
1/12/2023,USD,153.2353,153.1353,153.3353
11/30/2023,USD,153.15,153.05,153.25
11/29/2023,USD,153.0618,152.9618,153.1618
11/28/2023,USD,152.9706,152.8706,153.0706
11/27/2023,USD,152.9029,152.8029,153.0029
11/24/2023,USD,152.8147,152.7147,152.9147
11/23/2023,USD,152.6912,152.5912,152.7912
11/22/2023,USD,152.5529,152.4529,152.6529
11/21/2023,USD,152.4471,152.3471,152.5471
11/20/2023,USD,152.3382,152.2382,152.4382
11/17/2023,USD,152.2265,152.1265,152.3265
11/16/2023,USD,152.1088,152.0088,152.2088
11/15/2023,USD,151.9353,151.8353,152.0353
11/14/2023,USD,151.8382,151.7382,151.9382
10/11/2023,USD,151.6794,151.5794,151.7794
9/11/2023,USD,151.5324,151.4324,151.6324
8/11/2023,USD,151.3794,151.2794,151.4794
7/11/2023,USD,151.2676,151.1676,151.3676
6/11/2023,USD,151.1647,151.0647,151.2647
3/11/2023,USD,151.0588,150.9588,151.1588
2/11/2023,USD,150.8588,150.7588,150.9588
1/11/2023,USD,150.7029,150.6029,150.8029
10/31/2023,USD,150.5588,150.4588,150.6588
10/30/2023,USD,150.4588,150.3588,150.5588
10/27/2023,USD,150.3618,150.2618,150.4618
10/26/2023,USD,150.2735,150.1735,150.3735
10/25/2023,USD,150.1706,150.0706,150.2706
10/24/2023,USD,150.0735,149.9735,150.1735
10/23/2023,USD,149.9441,149.8441,150.0441
10/19/2023,USD,149.7882,149.6882,149.8882
10/18/2023,USD,149.5824,149.4824,149.6824
10/17/2023,USD,149.4382,149.3382,149.5382
10/16/2023,USD,149.2706,149.1706,149.3706
10/13/2023,USD,149.1324,149.0324,149.2324
12/10/2023,USD,149.0059,148.9059,149.1059
11/10/2023,USD,148.8824,148.7824,148.9824
9/10/2023,USD,148.7941,148.6941,148.8941
6/10/2023,USD,148.6882,148.5882,148.7882
5/10/2023,USD,148.5647,148.4647,148.6647
4/10/2023,USD,148.45,148.35,148.55
3/10/2023,USD,148.3176,148.2176,148.4176
2/10/2023,USD,148.2015,148.1029,148.3
9/29/2023,USD,148.1,148,148.2
9/28/2023,USD,147.9412,147.8412,148.0412
9/27/2023,USD,147.8088,147.7088,147.9088
9/26/2023,USD,147.6412,147.5412,147.7412
9/25/2023,USD,147.4706,147.3706,147.5706
9/22/2023,USD,147.3559,147.2559,147.4559
9/21/2023,USD,147.2647,147.1647,147.3647
9/20/2023,USD,147.1412,147.0412,147.2412
9/19/2023,USD,147.0059,146.9059,147.1059
9/18/2023,USD,146.9059,146.8059,147.0059
9/15/2023,USD,146.7918,146.6918,146.8918
9/14/2023,USD,146.6588,146.5588,146.7588
9/13/2023,USD,146.4912,146.3912,146.5912
12/9/2023,USD,146.3618,146.2618,146.4618
11/9/2023,USD,146.2206,146.1206,146.3206
8/9/2023,USD,146.1353,146.0353,146.2353
7/9/2023,USD,146.0412,145.9412,146.1412
6/9/2023,USD,145.9147,145.8147,146.0147
5/9/2023,USD,145.7559,145.6559,145.8559
4/9/2023,USD,145.6324,145.5324,145.7324
1/9/2023,USD,145.5088,145.4088,145.6088
8/31/2023,USD,145.4059,145.3059,145.5059
8/30/2023,USD,145.2618,145.1618,145.3618
8/29/2023,USD,145.15,145.05,145.25
8/28/2023,USD,144.9941,144.8941,145.0941
8/25/2023,USD,144.8735,144.7735,144.9735
8/24/2023,USD,144.7176,144.6176,144.8176
8/23/2023,USD,144.5559,144.4559,144.6559
8/22/2023,USD,144.4059,144.3059,144.5059
8/21/2023,USD,144.3176,144.2176,144.4176
8/18/2023,USD,144.1824,144.0824,144.2824
8/17/2023,USD,144.0441,143.9441,144.1441
8/16/2023,USD,143.9088,143.8088,144.0088
8/15/2023,USD,143.7588,143.6588,143.8588
8/14/2023,USD,143.6088,143.5088,143.7088
11/8/2023,USD,143.5765,143.4765,143.6765
10/8/2023,USD,143.4441,143.3441,143.5441
9/8/2023,USD,143.2735,143.1735,143.3735
8/8/2023,USD,143.1176,143.0176,143.2176
7/8/2023,USD,142.9882,142.8882,143.0882
4/8/2023,USD,142.8868,142.7882,142.9853
3/8/2023,USD,142.7765,142.6765,142.8765
2/8/2023,USD,142.6412,142.5412,142.7412
1/8/2023,USD,142.5265,142.4265,142.6265
7/31/2023,USD,142.3647,142.2647,142.4647
7/28/2023,USD,142.2971,142.1971,142.3971
7/27/2023,USD,142.2,142.1,142.3
7/26/2023,USD,142.1176,142.0176,142.2176
7/25/2023,USD,141.9985,141.9,142.0971
7/24/2023,USD,141.8426,141.7441,141.9412
7/21/2023,USD,141.7747,141.6747,141.8747
7/20/2023,USD,141.6971,141.5971,141.7971
7/19/2023,USD,141.5912,141.4912,141.6912
7/18/2023,USD,141.4971,141.3971,141.5971
7/17/2023,USD,141.4412,141.3412,141.5412
7/14/2023,USD,141.3824,141.2824,141.4824
7/13/2023,USD,141.2853,141.1853,141.3853
12/7/2023,USD,141.2088,141.1088,141.3088
11/7/2023,USD,141.0647,140.9647,141.1647
10/7/2023,USD,140.9853,140.8853,141.0853
7/7/2023,USD,140.9206,140.8206,141.0206
6/7/2023,USD,140.7824,140.6824,140.8824
5/7/2023,USD,140.7235,140.6235,140.8235
4/7/2023,USD,140.6735,140.5735,140.7735
3/7/2023,USD,140.5735,140.4735,140.6735
6/30/2023,USD,140.5235,140.4235,140.6235
6/29/2023,USD,140.45,140.35,140.55
6/27/2023,USD,140.4441,140.3441,140.5441
6/26/2023,USD,140.4412,140.3412,140.5412
6/23/2023,USD,140.4029,140.3029,140.5029
6/22/2023,USD,140.3059,140.2059,140.4059
6/21/2023,USD,140.2,140.1,140.3
6/20/2023,USD,140.1206,140.0206,140.2206
6/19/2023,USD,140.0412,139.9412,140.1412
6/16/2023,USD,139.8706,139.7706,139.9706
6/15/2023,USD,139.7118,139.6118,139.8118
6/14/2023,USD,139.6276,139.5276,139.7276
6/13/2023,USD,139.4776,139.3776,139.5776
12/6/2023,USD,139.35,139.25,139.45
9/6/2023,USD,139.2235,139.1235,139.3235
8/6/2023,USD,139.1124,139.0124,139.2124
7/6/2023,USD,138.9676,138.8676,139.0676
6/6/2023,USD,138.8735,138.7735,138.9735
5/6/2023,USD,138.7559,138.6559,138.8559
2/6/2023,USD,138.6088,138.5088,138.7088
5/31/2023,USD,138.4912,138.3912,138.5912
5/30/2023,USD,138.4176,138.3176,138.5176
5/29/2023,USD,138.3324,138.2324,138.4324
5/26/2023,USD,138.2529,138.1529,138.3529
5/25/2023,USD,138.1324,138.0324,138.2324
5/24/2023,USD,137.9559,137.8559,138.0559
5/23/2023,USD,137.7618,137.6618,137.8618
5/22/2023,USD,137.6265,137.5265,137.7265
5/19/2023,USD,137.4912,137.3912,137.5912
5/18/2023,USD,137.3735,137.2735,137.4735
5/17/2023,USD,137.2382,137.1382,137.3382
5/16/2023,USD,137.1029,137.0029,137.2029
5/15/2023,USD,136.9794,136.8794,137.0794
12/5/2023,USD,136.8765,136.7765,136.9765
11/5/2023,USD,136.7912,136.6912,136.8912
10/5/2023,USD,136.6765,136.5765,136.7765
9/5/2023,USD,136.5853,136.4853,136.6853
8/5/2023,USD,136.4676,136.3676,136.5676
5/5/2023,USD,136.3971,136.2971,136.4971
4/5/2023,USD,136.2618,136.1618,136.3618
3/5/2023,USD,136.1529,136.0529,136.2529
2/5/2023,USD,136.0176,135.9176,136.1176
4/28/2023,USD,135.9118,135.8118,136.0118
4/27/2023,USD,135.8324,135.7324,135.9324
4/26/2023,USD,135.6588,135.5588,135.7588
4/25/2023,USD,135.4824,135.3824,135.5824
4/24/2023,USD,135.3147,135.2147,135.4147
4/20/2023,USD,135.1912,135.0912,135.2912
4/19/2023,USD,134.9735,134.8735,135.0735
4/18/2023,USD,134.7382,134.6382,134.8382
4/17/2023,USD,134.5676,134.4676,134.6676
4/14/2023,USD,134.3529,134.2529,134.4529
4/13/2023,USD,133.9529,133.8529,134.0529
12/4/2023,USD,133.7235,133.6235,133.8235
11/4/2023,USD,133.5882,133.4882,133.6882
6/4/2023,USD,133.3,133.2,133.4
5/4/2023,USD,132.9412,132.8412,133.0412
4/4/2023,USD,132.6735,132.5735,132.7735
3/4/2023,USD,132.5206,132.4206,132.6206
3/31/2023,USD,132.3324,132.2324,132.4324
3/30/2023,USD,132.1265,132.0265,132.2265
3/29/2023,USD,131.7765,131.6765,131.8765
3/28/2023,USD,131.5294,131.4294,131.6294
3/27/2023,USD,131.3971,131.2971,131.4971
3/24/2023,USD,131.2735,131.1735,131.3735
3/23/2023,USD,130.9941,130.8941,131.0941
3/22/2023,USD,130.6176,130.5176,130.7176
3/21/2023,USD,130.3206,130.2206,130.4206
3/20/2023,USD,130.0088,129.9088,130.1088
3/17/2023,USD,129.8824,129.7824,129.9824
3/16/2023,USD,129.7618,129.6618,129.8618
3/15/2023,USD,129.5882,129.4882,129.6882
3/14/2023,USD,129.4529,129.3529,129.5529
3/13/2023,USD,129.2412,129.1412,129.3412
10/3/2023,USD,128.8882,128.7882,128.9882
9/3/2023,USD,128.5912,128.4912,128.6912
8/3/2023,USD,128.3618,128.2618,128.4618
7/3/2023,USD,128.1088,128.0088,128.2088
6/3/2023,USD,127.7559,127.6559,127.8559
3/3/2023,USD,127.5441,127.4441,127.6441
2/3/2023,USD,127.2941,127.1941,127.3941
1/3/2023,USD,127.0794,126.9794,127.1794
2/28/2023,USD,126.8529,126.7529,126.9529
2/27/2023,USD,126.6147,126.5147,126.7147
2/24/2023,USD,126.4294,126.3294,126.5294
2/23/2023,USD,126.2676,126.1676,126.3676
2/22/2023,USD,126.0794,125.9794,126.1794
2/21/2023,USD,125.9353,125.8353,126.0353
2/20/2023,USD,125.7706,125.6706,125.8706
2/17/2023,USD,125.6265,125.5265,125.7265
2/16/2023,USD,125.5235,125.4235,125.6235
2/15/2023,USD,125.3824,125.2824,125.4824
2/14/2023,USD,125.2735,125.1735,125.3735
2/13/2023,USD,125.1882,125.0882,125.2882
10/2/2023,USD,125.0765,124.9765,125.1765
9/2/2023,USD,124.9824,124.8824,125.0824
8/2/2023,USD,124.8794,124.7794,124.9794
7/2/2023,USD,124.8,124.7,124.9
6/2/2023,USD,124.6618,124.5618,124.7618
3/2/2023,USD,124.5941,124.4941,124.6941
2/2/2023,USD,124.5235,124.4235,124.6235
1/2/2023,USD,124.4765,124.3765,124.5765
1/31/2023,USD,124.4029,124.3029,124.5029
1/30/2023,USD,124.3912,124.2912,124.4912
1/27/2023,USD,124.35,124.25,124.45
1/26/2023,USD,124.3,124.2,124.4
1/25/2023,USD,124.2471,124.1471,124.3471
1/24/2023,USD,124.1735,124.0735,124.2735
1/23/2023,USD,124.1265,124.0265,124.2265
1/20/2023,USD,124.0941,123.9941,124.1941
1/19/2023,USD,124.05,123.95,124.15
1/18/2023,USD,124.0088,123.9088,124.1088
1/17/2023,USD,123.9441,123.8441,124.0441
1/16/2023,USD,123.8912,123.7912,123.9912
1/13/2023,USD,123.8353,123.7353,123.9353
12/1/2023,USD,123.7794,123.6794,123.8794
11/1/2023,USD,123.7176,123.6176,123.8176
10/1/2023,USD,123.6471,123.5471,123.7471
9/1/2023,USD,123.5882,123.4882,123.6882
6/1/2023,USD,123.5471,123.4471,123.6471
5/1/2023,USD,123.4824,123.3824,123.5824
4/1/2023,USD,123.4412,123.3412,123.5412
3/1/2023,USD,123.4235,123.3235,123.5235
12/30/2022,USD,123.3735,123.2735,123.4735
12/29/2022,USD,123.3294,123.2294,123.4294
12/28/2022,USD,123.2588,123.1588,123.3588
12/23/2022,USD,123.2088,123.1088,123.3088
12/22/2022,USD,123.1647,123.0647,123.2647
12/21/2022,USD,123.1441,123.0441,123.2441
12/20/2022,USD,123.0941,122.9941,123.1941
12/19/2022,USD,123.0471,122.9471,123.1471
12/16/2022,USD,122.9882,122.8882,123.0882
12/15/2022,USD,122.9412,122.8412,123.0412
12/14/2022,USD,122.8971,122.7971,122.9971
12/13/2022,USD,122.8382,122.7382,122.9382
9/12/2022,USD,122.7912,122.6912,122.8912
8/12/2022,USD,122.7382,122.6382,122.8382
7/12/2022,USD,122.6853,122.5853,122.7853
6/12/2022,USD,122.6324,122.5324,122.7324
5/12/2022,USD,122.5912,122.4912,122.6912
2/12/2022,USD,122.5324,122.4324,122.6324
1/12/2022,USD,122.5,122.4,122.6
11/30/2022,USD,122.4471,122.3471,122.5471
11/29/2022,USD,122.3765,122.2765,122.4765
11/28/2022,USD,122.3353,122.2353,122.4353
11/25/2022,USD,122.2794,122.1794,122.3794
11/24/2022,USD,122.2294,122.1294,122.3294
11/23/2022,USD,122.1824,122.0824,122.2824
11/22/2022,USD,122.1265,122.0265,122.2265
11/21/2022,USD,122.0794,121.9794,122.1794
11/18/2022,USD,122.0294,121.9294,122.1294
11/17/2022,USD,121.9794,121.8794,122.0794
11/16/2022,USD,121.9294,121.8294,122.0294
11/15/2022,USD,121.8971,121.7971,121.9971
